annotation_raw,annotation_normalized,protein_count,percent,current_status,candidate_level1,candidate_level2,candidate_level3,reason_not_assigned,review_priority,needs_multimodal_evidence,promotion_evidence,family_consistency,embedding_cluster_id,structure_support,neighborhood_support,suggested_next_action,reviewer,review_date,notes
lipoprotein precursor,lipoprotein precursor,39,0.0015,open_set,,,,unknown / weakly-resolved / no stable mapping to current ontology,low,no,family_consistency; recurrent_unknown_cluster,,,,,keep as open-set and monitor for clustering / recurrent family signal,,,weak membrane/secreted annotation; left as open-set
transmembrane protein,transmembrane protein,22,0.0009,open_set,,,,unknown / weakly-resolved / no stable mapping to current ontology,low,no,family_consistency; recurrent_unknown_cluster,,,,,keep as open-set and monitor for clustering / recurrent family signal,,,weak membrane/secreted annotation; left as open-set
,,1013042,39.8365,open_set,,,,unknown / weakly-resolved / no stable mapping to current ontology,medium,no,family_consistency; recurrent_unknown_cluster,,,,,keep as open-set and monitor for clustering / recurrent family signal,,,blank annotation; retained as open-set unresolved case
<no_phrog_mapping>,<no_phrog_mapping>,596606,23.4607,open_set,,,,unknown / weakly-resolved / no stable mapping to current ontology,medium,no,family_consistency; recurrent_unknown_cluster,,,,,keep as open-set and monitor for clustering / recurrent family signal,,,no PHROG mapping available; open-set by design
unknown function,unknown function,21963,0.8637,open_set,,,,unknown / weakly-resolved / no stable mapping to current ontology,medium,no,family_consistency; recurrent_unknown_cluster,,,,,keep as open-set and monitor for clustering / recurrent family signal,,,Unknown/hypothetical annotation; not a trainable function label.
membrane protein,membrane protein,9285,0.3651,open_set,,,,unknown / weakly-resolved / no stable mapping to current ontology,medium,no,family_consistency; recurrent_unknown_cluster,,,,,keep as open-set and monitor for clustering / recurrent family signal,,,weak membrane/secreted annotation; left as open-set
lipoprotein,lipoprotein,2473,0.0972,open_set,,,,unknown / weakly-resolved / no stable mapping to current ontology,medium,no,family_consistency; recurrent_unknown_cluster,,,,,keep as open-set and monitor for clustering / recurrent family signal,,,weak membrane/secreted annotation; left as open-set
outer membrane protein,outer membrane protein,823,0.0324,open_set,,,,unknown / weakly-resolved / no stable mapping to current ontology,medium,no,family_consistency; recurrent_unknown_cluster,,,,,keep as open-set and monitor for clustering / recurrent family signal,,,weak membrane/secreted annotation; left as open-set
secreted protein,secreted protein,681,0.0268,open_set,,,,unknown / weakly-resolved / no stable mapping to current ontology,medium,no,family_consistency; recurrent_unknown_cluster,,,,,keep as open-set and monitor for clustering / recurrent family signal,,,weak membrane/secreted annotation; left as open-set
membrane associated protein,membrane associated protein,585,0.023,open_set,,,,unknown / weakly-resolved / no stable mapping to current ontology,medium,yes,family_consistency; recurrent_unknown_cluster,,,,,keep as open-set and monitor for clustering / recurrent family signal,,,weak membrane/secreted annotation; left as open-set
periplasmic protein,periplasmic protein,501,0.0197,open_set,,,,unknown / weakly-resolved / no stable mapping to current ontology,medium,no,family_consistency; recurrent_unknown_cluster,,,,,keep as open-set and monitor for clustering / recurrent family signal,,,weak membrane/secreted annotation; left as open-set
TreN-like membrane protein,TreN-like membrane protein,277,0.0109,open_set,,,,unknown / weakly-resolved / no stable mapping to current ontology,medium,no,family_consistency; recurrent_unknown_cluster,,,,,keep as open-set and monitor for clustering / recurrent family signal,,,weak membrane/secreted annotation; left as open-set
Lom outer membrane protein,Lom outer membrane protein,235,0.0092,open_set,,,,unknown / weakly-resolved / no stable mapping to current ontology,medium,no,family_consistency; recurrent_unknown_cluster,,,,,keep as open-set and monitor for clustering / recurrent family signal,,,weak membrane/secreted annotation; left as open-set
Bor-like outer membrane protein,Bor-like outer membrane protein,127,0.005,open_set,,,,unknown / weakly-resolved / no stable mapping to current ontology,medium,no,family_consistency; recurrent_unknown_cluster,,,,,keep as open-set and monitor for clustering / recurrent family signal,,,weak membrane/secreted annotation; left as open-set
minor tail protein,minor tail protein,38467,1.5127,parent_only,Virion_morphogenesis,Tail,,broad or scaffold-level category; currently retained at L2/coarse level only,high,yes,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.
virion structural protein,virion structural protein,31771,1.2494,parent_only,Virion_morphogenesis,Capsid,,broad or scaffold-level category; currently retained at L2/coarse level only,high,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.
HNH endonuclease,HNH endonuclease,26109,1.0267,parent_only,Genome_maintenance_propagation,DNA_recombination,,broad or scaffold-level category; currently retained at L2/coarse level only,high,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.
tail protein,tail protein,20828,0.819,parent_only,Virion_morphogenesis,Tail,,broad or scaffold-level category; currently retained at L2/coarse level only,high,yes,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.
exonuclease,exonuclease,16558,0.6511,parent_only,Genome_maintenance_propagation,DNA_recombination,,broad or scaffold-level category; currently retained at L2/coarse level only,high,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.
tail length tape measure protein,tail length tape measure protein,15014,0.5904,parent_only,Virion_morphogenesis,Tail,,broad or scaffold-level category; currently retained at L2/coarse level only,high,yes,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.
tail assembly chaperone,tail assembly chaperone,13238,0.5206,parent_only,Virion_morphogenesis,Tail,,broad or scaffold-level category; currently retained at L2/coarse level only,high,yes,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.
transcriptional regulator,transcriptional regulator,11257,0.4427,parent_only,Gene_expression_reprogramming,Transcription_factor,,broad or scaffold-level category; currently retained at L2/coarse level only,high,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Broad transcription-control term; kept as parent-only scaffold. Consider subtype_hint = generic_tf / antitermination / sigma_reprogramming during training analysis.
DNA binding protein,DNA binding protein,8276,0.3254,parent_only,Gene_expression_reprogramming,Transcription_factor,,broad or scaffold-level category; currently retained at L2/coarse level only,high,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Broad transcription-control term; kept as parent-only scaffold. Consider subtype_hint = generic_tf / antitermination / sigma_reprogramming during training analysis.
endonuclease,endonuclease,7295,0.2869,parent_only,Genome_maintenance_propagation,DNA_recombination,,broad or scaffold-level category; currently retained at L2/coarse level only,high,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.
tail terminator,tail terminator,6940,0.2729,parent_only,Virion_morphogenesis,Tail,,broad or scaffold-level category; currently retained at L2/coarse level only,high,yes,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.
single strand DNA binding protein,single strand DNA binding protein,5853,0.2302,parent_only,Genome_maintenance_propagation,DNA_replication,,broad or scaffold-level category; currently retained at L2/coarse level only,high,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.
HTH DNA binding protein,HTH DNA binding protein,5351,0.2104,parent_only,Gene_expression_reprogramming,Transcription_factor,,broad or scaffold-level category; currently retained at L2/coarse level only,high,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Broad transcription-control term; kept as parent-only scaffold. Consider subtype_hint = generic_tf / antitermination / sigma_reprogramming during training analysis.
thymidylate synthase,thymidylate synthase,5073,0.1995,parent_only,Auxiliary_metabolic_support,Nucleotide_metabolism,,broad or scaffold-level category; currently retained at L2/coarse level only,high,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.
thioredoxin domain,thioredoxin domain,5049,0.1985,parent_only,Auxiliary_metabolic_support,Nucleotide_metabolism,,broad or scaffold-level category; currently retained at L2/coarse level only,high,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.
homing endonuclease,homing endonuclease,4689,0.1844,parent_only,Genome_maintenance_propagation,DNA_recombination,,broad or scaffold-level category; currently retained at L2/coarse level only,high,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.
head morphogenesis,head morphogenesis,4651,0.1829,parent_only,Virion_morphogenesis,Capsid,,broad or scaffold-level category; currently retained at L2/coarse level only,high,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.
ATP-dependent DNA ligase,ATP-dependent DNA ligase,4588,0.1804,parent_only,Genome_maintenance_propagation,DNA_recombination,,broad or scaffold-level category; currently retained at L2/coarse level only,high,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.
endonuclease VII,endonuclease VII,4449,0.175,parent_only,Genome_maintenance_propagation,DNA_recombination,,broad or scaffold-level category; currently retained at L2/coarse level only,high,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.
RusA-like Holliday junction resolvase,RusA-like Holliday junction resolvase,4389,0.1726,parent_only,Genome_maintenance_propagation,DNA_recombination,,broad or scaffold-level category; currently retained at L2/coarse level only,high,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.
deoxynucleoside monophosphate kinase,deoxynucleoside monophosphate kinase,4381,0.1723,parent_only,Auxiliary_metabolic_support,Nucleotide_metabolism,,broad or scaffold-level category; currently retained at L2/coarse level only,high,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.
head protein,head protein,4142,0.1629,parent_only,Virion_morphogenesis,Capsid,,broad or scaffold-level category; currently retained at L2/coarse level only,high,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.
RNA ligase,RNA ligase,3999,0.1573,parent_only,Gene_expression_reprogramming,Protein_RNA_processing,,broad or scaffold-level category; currently retained at L2/coarse level only,high,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Broad RNA / translation processing or regulation term; routed to Protein_RNA_processing scaffold.
polynucleotide kinase,polynucleotide kinase,3796,0.1493,parent_only,Genome_maintenance_propagation,DNA_recombination,,broad or scaffold-level category; currently retained at L2/coarse level only,high,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.
SbcC-like subunit of palindrome specific endonuclease,SbcC-like subunit of palindrome specific endonuclease,3390,0.1333,parent_only,Genome_maintenance_propagation,DNA_recombination,,broad or scaffold-level category; currently retained at L2/coarse level only,high,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.
MazG-like pyrophosphatase,MazG-like pyrophosphatase,3342,0.1314,parent_only,Auxiliary_metabolic_support,Nucleotide_metabolism,,broad or scaffold-level category; currently retained at L2/coarse level only,high,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.
SbcD-like subunit of palindrome specific endonuclease,SbcD-like subunit of palindrome specific endonuclease,3213,0.1263,parent_only,Genome_maintenance_propagation,DNA_recombination,,broad or scaffold-level category; currently retained at L2/coarse level only,high,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.
nucleotidyltransferase,nucleotidyltransferase,3010,0.1184,parent_only,Auxiliary_metabolic_support,Nucleotide_metabolism,,broad or scaffold-level category; currently retained at L2/coarse level only,high,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.
dCMP deaminase,dCMP deaminase,2855,0.1123,parent_only,Auxiliary_metabolic_support,Nucleotide_metabolism,,broad or scaffold-level category; currently retained at L2/coarse level only,high,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.
2OG-Fe(II) oxygenase,2OG-Fe(II) oxygenase,2788,0.1096,parent_only,Auxiliary_metabolic_support,Nucleotide_metabolism,,broad or scaffold-level category; currently retained at L2/coarse level only,high,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.
phosphatase,phosphatase,2579,0.1014,parent_only,Auxiliary_metabolic_support,Nucleotide_metabolism,,broad or scaffold-level category; currently retained at L2/coarse level only,high,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.
metallo-phosphoesterase,metallo-phosphoesterase,2521,0.0991,parent_only,Auxiliary_metabolic_support,Nucleotide_metabolism,,broad or scaffold-level category; currently retained at L2/coarse level only,high,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.
tail assembly protein,tail assembly protein,2340,0.092,parent_only,Virion_morphogenesis,Tail,,broad or scaffold-level category; currently retained at L2/coarse level only,high,yes,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.
Gp2.5-like ssDNA binding protein and ssDNA annealing protein,Gp2.5-like ssDNA binding protein and ssDNA annealing protein,2305,0.0906,parent_only,Genome_maintenance_propagation,DNA_replication,,broad or scaffold-level category; currently retained at L2/coarse level only,high,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.
glycosyltransferase,glycosyltransferase,2264,0.089,parent_only,Genome_maintenance_propagation,DNA_modification,,broad or scaffold-level category; currently retained at L2/coarse level only,high,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.
distal tail protein Dit,distal tail protein Dit,2179,0.0857,parent_only,Virion_morphogenesis,Tail,,broad or scaffold-level category; currently retained at L2/coarse level only,high,yes,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.
Hoc-like head decoration,Hoc-like head decoration,2151,0.0846,parent_only,Virion_morphogenesis,Capsid,,broad or scaffold-level category; currently retained at L2/coarse level only,high,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.
nucleotide kinase,nucleotide kinase,2115,0.0832,parent_only,Auxiliary_metabolic_support,Nucleotide_metabolism,,broad or scaffold-level category; currently retained at L2/coarse level only,high,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.
RuvC-like Holliday junction resolvase,RuvC-like Holliday junction resolvase,2101,0.0826,parent_only,Genome_maintenance_propagation,DNA_recombination,,broad or scaffold-level category; currently retained at L2/coarse level only,high,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.
ATPase,ATPase,1982,0.0779,parent_only,Auxiliary_metabolic_support,Nucleotide_metabolism,,broad or scaffold-level category; currently retained at L2/coarse level only,high,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.
dihydrofolate reductase,dihydrofolate reductase,1955,0.0769,parent_only,Auxiliary_metabolic_support,Nucleotide_metabolism,,broad or scaffold-level category; currently retained at L2/coarse level only,high,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.
Holliday junction resolvase,Holliday junction resolvase,1899,0.0747,parent_only,Genome_maintenance_propagation,DNA_recombination,,broad or scaffold-level category; currently retained at L2/coarse level only,high,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.
phosphoesterase,phosphoesterase,1861,0.0732,parent_only,Auxiliary_metabolic_support,Nucleotide_metabolism,,broad or scaffold-level category; currently retained at L2/coarse level only,high,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.
head decoration,head decoration,1852,0.0728,parent_only,Virion_morphogenesis,Capsid,,broad or scaffold-level category; currently retained at L2/coarse level only,high,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.
nucleoside triphosphate pyrophosphohydrolase,nucleoside triphosphate pyrophosphohydrolase,1750,0.0688,parent_only,Auxiliary_metabolic_support,Nucleotide_metabolism,,broad or scaffold-level category; currently retained at L2/coarse level only,high,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.
PhoH-like phosphate starvation-inducible,PhoH-like phosphate starvation-inducible,1743,0.0685,parent_only,Auxiliary_metabolic_support,Nucleotide_metabolism,,broad or scaffold-level category; currently retained at L2/coarse level only,high,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.
late sigma transcription factor,late sigma transcription factor,1710,0.0672,parent_only,Gene_expression_reprogramming,Transcription_factor,,broad or scaffold-level category; currently retained at L2/coarse level only,high,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Broad transcription-control term; kept as parent-only scaffold. Consider subtype_hint = generic_tf / antitermination / sigma_reprogramming during training analysis.
translation repressor,translation repressor,1702,0.0669,parent_only,Gene_expression_reprogramming,Protein_RNA_processing,,broad or scaffold-level category; currently retained at L2/coarse level only,high,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Broad RNA / translation processing or regulation term; routed to Protein_RNA_processing scaffold.
GTP-binding domain,GTP-binding domain,1682,0.0661,parent_only,Auxiliary_metabolic_support,Nucleotide_metabolism,,broad or scaffold-level category; currently retained at L2/coarse level only,high,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.
nicotinamide phosphoribosyl transferase,nicotinamide phosphoribosyl transferase,1675,0.0659,parent_only,Auxiliary_metabolic_support,Nucleotide_metabolism,,broad or scaffold-level category; currently retained at L2/coarse level only,high,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.
DNA helicase loader,DNA helicase loader,1650,0.0649,parent_only,Genome_maintenance_propagation,DNA_replication,,broad or scaffold-level category; currently retained at L2/coarse level only,high,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.
structural protein,structural protein,1627,0.064,parent_only,Virion_morphogenesis,Capsid,,broad or scaffold-level category; currently retained at L2/coarse level only,high,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.
RNA polymerase sigma factor,RNA polymerase sigma factor,1568,0.0617,parent_only,Gene_expression_reprogramming,Transcription_factor,,broad or scaffold-level category; currently retained at L2/coarse level only,high,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Broad transcription-control term; kept as parent-only scaffold. Consider subtype_hint = generic_tf / antitermination / sigma_reprogramming during training analysis.
DNA end protector,DNA end protector,1559,0.0613,parent_only,Genome_maintenance_propagation,DNA_replication,,broad or scaffold-level category; currently retained at L2/coarse level only,high,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.
internal head protein,internal head protein,1455,0.0572,parent_only,Virion_morphogenesis,Capsid,,broad or scaffold-level category; currently retained at L2/coarse level only,high,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.
anti-sigma factor,anti-sigma factor,1449,0.057,parent_only,Gene_expression_reprogramming,Transcription_factor,,broad or scaffold-level category; currently retained at L2/coarse level only,high,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Broad transcription-control term; kept as parent-only scaffold. Consider subtype_hint = generic_tf / antitermination / sigma_reprogramming during training analysis.
thymidylate kinase,thymidylate kinase,1438,0.0565,parent_only,Auxiliary_metabolic_support,Nucleotide_metabolism,,broad or scaffold-level category; currently retained at L2/coarse level only,high,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.
DNA repair exonuclease,DNA repair exonuclease,1398,0.055,parent_only,Genome_maintenance_propagation,DNA_recombination,,broad or scaffold-level category; currently retained at L2/coarse level only,high,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.
UvsX-like recombinase,UvsX-like recombinase,1376,0.0541,parent_only,Genome_maintenance_propagation,DNA_recombination,,broad or scaffold-level category; currently retained at L2/coarse level only,high,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.
tail collar fiber protein,tail collar fiber protein,1333,0.0524,parent_only,Virion_morphogenesis,Tail,,broad or scaffold-level category; currently retained at L2/coarse level only,high,yes,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.
dUTPase,dUTPase,1272,0.05,parent_only,Auxiliary_metabolic_support,Nucleotide_metabolism,,broad or scaffold-level category; currently retained at L2/coarse level only,high,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.
phosphofructokinase,phosphofructokinase,1255,0.0494,parent_only,Auxiliary_metabolic_support,Nucleotide_metabolism,,broad or scaffold-level category; currently retained at L2/coarse level only,high,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.
terminase,terminase,1220,0.048,parent_only,Virion_morphogenesis,Head_assembly_packaging,,broad or scaffold-level category; currently retained at L2/coarse level only,high,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.
nucleotide pyrophosphohydrolase,nucleotide pyrophosphohydrolase,1213,0.0477,parent_only,Auxiliary_metabolic_support,Nucleotide_metabolism,,broad or scaffold-level category; currently retained at L2/coarse level only,high,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.
exonuclease VIII,exonuclease VIII,1197,0.0471,parent_only,Genome_maintenance_propagation,DNA_recombination,,broad or scaffold-level category; currently retained at L2/coarse level only,high,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.
RNA-binding protein,RNA-binding protein,1190,0.0468,parent_only,Gene_expression_reprogramming,Protein_RNA_processing,,broad or scaffold-level category; currently retained at L2/coarse level only,high,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Broad RNA / translation processing or regulation term; routed to Protein_RNA_processing scaffold.
Rnase H,Rnase H,1171,0.046,parent_only,Genome_maintenance_propagation,DNA_recombination,,broad or scaffold-level category; currently retained at L2/coarse level only,high,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.
DnaC-like helicase loader,DnaC-like helicase loader,1150,0.0452,parent_only,Genome_maintenance_propagation,DNA_replication,,broad or scaffold-level category; currently retained at L2/coarse level only,high,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.
starvation-inducible transcriptional regulator,starvation-inducible transcriptional regulator,1146,0.0451,parent_only,Gene_expression_reprogramming,Transcription_factor,,broad or scaffold-level category; currently retained at L2/coarse level only,high,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Broad transcription-control term; kept as parent-only scaffold. Consider subtype_hint = generic_tf / antitermination / sigma_reprogramming during training analysis.
DNA topoisomerase II,DNA topoisomerase II,1137,0.0447,parent_only,Genome_maintenance_propagation,DNA_recombination,,broad or scaffold-level category; currently retained at L2/coarse level only,high,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.
